condition,replicate_id,n_sessions,backend,leakage_rate,independence_ratio,helpfulness_mean,pedagogy_mean,acc_immediate,acc_delayed,acc_transfer,tutor_tokens,total_tokens,n_model_calls,visible_tutor_turns
cold,0,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,159018.0,38.0,0.0
cold,1,1,live,,,,,1.0,1.0,1.0,0.0,108202.0,38.0,0.0
cold,2,1,live,,,,,1.0,1.0,1.0,0.0,157109.0,38.0,0.0
cold,3,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,113650.0,38.0,0.0
cold,4,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,122871.0,38.0,0.0
cold,5,1,live,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,110056.0,38.0,0.0
cold,6,1,live,,,,,1.0,1.0,1.0,0.0,131438.0,38.0,0.0
cold,7,1,live,,,,,1.0,1.0,1.0,0.0,115834.0,38.0,0.0
cold,8,1,live,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,98050.0,38.0,0.0
cold,9,1,live,,,,,1.0,1.0,1.0,0.0,117096.0,38.0,0.0
conv,0,1,live,0.36363636363636365,0.4117647058823529,4.818181818181818,3.0,1.0,1.0,0.6666666666666666,26801.0,334461.0,67.0,24.0
conv,1,1,live,0.3333333333333333,0.5238095238095238,4.888888888888888,3.3333333333333335,1.0,0.6666666666666666,1.0,18200.0,250381.0,69.0,24.0
conv,2,1,live,0.7777777777777778,0.5333333333333333,5.0,1.7777777777777777,1.0,0.6666666666666666,0.3333333333333333,20331.0,265692.0,68.0,24.0
conv,3,1,live,0.42857142857142855,0.7692307692307693,5.0,2.9047619047619047,1.0,1.0,0.6666666666666666,24580.0,298630.0,67.0,24.0
conv,4,1,live,0.14285714285714285,0.7777777777777778,4.555555555555555,3.365079365079365,1.0,1.0,0.6666666666666666,17657.0,238809.0,68.0,24.0
conv,5,1,live,0.5555555555555556,0.4166666666666667,4.444444444444445,1.9814814814814814,1.0,1.0,1.0,18920.0,248322.0,69.0,24.0
conv,6,1,live,0.3333333333333333,0.5,4.527777777777778,2.5833333333333335,1.0,1.0,1.0,20093.0,268882.0,67.0,24.0
conv,7,1,live,0.7777777777777778,0.8,4.7407407407407405,1.6296296296296295,1.0,1.0,1.0,20323.0,250471.0,67.0,24.0
conv,8,1,live,0.25,0.3333333333333333,4.055555555555555,2.055555555555556,1.0,1.0,1.0,21307.0,294859.0,69.0,24.0
conv,9,1,live,0.3333333333333333,0.7333333333333333,5.0,3.148148148148148,1.0,1.0,1.0,19405.0,240392.0,67.0,24.0
conv_no_final_answer,0,1,live,0.25,0.43333333333333335,4.75,3.9444444444444446,1.0,1.0,1.0,20972.0,324759.0,73.0,24.0
conv_no_final_answer,1,1,live,0.09523809523809523,0.7777777777777778,4.619047619047619,4.111111111111111,1.0,1.0,1.0,17942.0,226887.0,67.0,24.0
conv_no_final_answer,2,1,live,0.25,0.43333333333333335,4.5,3.3333333333333335,1.0,1.0,1.0,22923.0,437018.0,80.0,24.0
conv_no_final_answer,3,1,live,0.29411764705882354,0.6956521739130435,5.0,4.254901960784314,0.6666666666666666,1.0,1.0,18722.0,232948.0,68.0,24.0
conv_no_final_answer,4,1,live,0.05555555555555555,0.9166666666666666,4.722222222222222,4.351851851851851,1.0,1.0,1.0,16157.0,210437.0,67.0,24.0
conv_no_final_answer,5,1,live,0.25,0.7,4.916666666666667,3.986111111111111,1.0,1.0,1.0,15334.0,257442.0,71.0,24.0
conv_no_final_answer,6,1,live,0.0,0.9444444444444444,5.0,4.5,1.0,1.0,1.0,17509.0,234318.0,67.0,24.0
conv_no_final_answer,7,1,live,0.2608695652173913,0.6551724137931034,4.768115942028985,3.8405797101449273,1.0,1.0,1.0,16636.0,341499.0,80.0,24.0
conv_no_final_answer,8,1,live,0.0,0.7894736842105263,4.948717948717948,4.615384615384615,1.0,1.0,1.0,16681.0,220819.0,67.0,24.0
conv_no_final_answer,9,1,live,0.0,0.9,4.8809523809523805,4.476190476190476,1.0,1.0,0.6666666666666666,18670.0,244428.0,67.0,24.0
conv_socratic,0,1,live,0.0,0.6333333333333333,4.916666666666667,4.902777777777778,1.0,1.0,1.0,11358.0,167249.0,68.0,24.0
conv_socratic,1,1,live,0.0,0.36666666666666664,4.708333333333333,4.930555555555555,0.6666666666666666,1.0,0.3333333333333333,12005.0,189251.0,69.0,24.0
conv_socratic,2,1,live,0.0,0.48148148148148145,4.746031746031746,4.777777777777778,0.6666666666666666,1.0,1.0,13602.0,194948.0,68.0,24.0
conv_socratic,3,1,live,0.09090909090909091,0.8214285714285714,4.8939393939393945,4.9393939393939394,1.0,1.0,0.3333333333333333,12529.0,198832.0,69.0,24.0
conv_socratic,4,1,live,0.0,0.6333333333333333,4.833333333333333,4.833333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,9862.0,231531.0,80.0,24.0
