condition,replicate_id,seed,run_id,backend,leakage_rate,independence_ratio,helpfulness_mean,pedagogy_mean,acc_immediate,acc_delayed,acc_transfer,n_train_tutor_turns,n_train_student_turns,visible_tutor_turns,student_turns,n_model_calls,tutor_tokens,student_tokens,input_tokens,output_tokens,total_tokens,leaky_turns_per_1k_tutor_tok,independent_turns_per_1k_tutor_tok,correct_probes_per_1k_tutor_tok
conv_no_final_answer,0,0,abl-s0-conv_no_final_answer-r0,live,0.25,0.43333333333333335,4.75,3.9444444444444446,1.0,1.0,1.0,24,30,24,49,73,20972,303787,314090,10669,324759,0.2860957467098989,0.6198741178714476,0.42914362006484835
conv_no_final_answer,1,1,abl-s0-conv_no_final_answer-r1,live,0.09523809523809523,0.7777777777777778,4.619047619047619,4.111111111111111,1.0,1.0,1.0,21,27,24,43,67,17942,208945,218208,8679,226887,0.11147029316687103,1.1704380782521457,0.5016163192509197
conv_no_final_answer,2,2,abl-s0-conv_no_final_answer-r2,live,0.25,0.43333333333333335,4.5,3.3333333333333335,1.0,1.0,1.0,24,30,24,56,80,22923,414095,425522,11496,437018,0.2617458447847141,0.5671159970335471,0.3926187671770711
conv_no_final_answer,3,3,abl-s0-conv_no_final_answer-r3,live,0.29411764705882354,0.6956521739130435,5.0,4.254901960784314,0.6666666666666666,1.0,1.0,17,23,24,44,68,18722,214226,224072,8876,232948,0.2670654844567888,0.8546095502617241,0.42730477513086207
conv_no_final_answer,4,4,abl-s0-conv_no_final_answer-r4,live,0.05555555555555555,0.9166666666666666,4.722222222222222,4.351851851851851,1.0,1.0,1.0,18,24,24,43,67,16157,194280,202096,8341,210437,0.06189267809618122,1.361638918115987,0.557034102865631
conv_no_final_answer,5,5,abl-s0-conv_no_final_answer-r5,live,0.25,0.7,4.916666666666667,3.986111111111111,1.0,1.0,1.0,24,30,24,47,71,15334,242108,247418,10024,257442,0.3912873353332464,1.3695056736663624,0.5869310029998696
conv_no_final_answer,6,6,abl-s0-conv_no_final_answer-r6,live,0.0,0.9444444444444444,5.0,4.5,1.0,1.0,1.0,12,18,24,43,67,17509,216809,224772,9546,234318,0.0,0.9709292363927123,0.5140213604432007
conv_no_final_answer,7,7,abl-s0-conv_no_final_answer-r7,live,0.2608695652173913,0.6551724137931034,4.768115942028985,3.8405797101449273,1.0,1.0,1.0,23,29,24,56,80,16636,324863,332401,9098,341499,0.3606636210627555,1.1421014666987257,0.5409954315941332
conv_no_final_answer,8,8,abl-s0-conv_no_final_answer-r8,live,0.0,0.7894736842105263,4.948717948717948,4.615384615384615,1.0,1.0,1.0,13,19,24,43,67,16681,204138,211951,8868,220819,0.0,0.8992266650680414,0.5395359990408248
conv_no_final_answer,9,9,abl-s0-conv_no_final_answer-r9,live,0.0,0.9,4.8809523809523805,4.476190476190476,1.0,1.0,0.6666666666666666,14,20,24,43,67,18670,225758,234418,10010,244428,0.0,0.96411355115158,0.4284949116229244
conv_socratic,0,0,abl-s0-conv_socratic-r0,live,0.0,0.6333333333333333,4.916666666666667,4.902777777777778,1.0,1.0,1.0,24,30,24,44,68,11358,155891,160179,7070,167249,0.0,1.6728297235428773,0.7923930269413629
conv_socratic,1,1,abl-s0-conv_socratic-r1,live,0.0,0.36666666666666664,4.708333333333333,4.930555555555555,0.6666666666666666,1.0,0.3333333333333333,24,30,24,45,69,12005,177246,182069,7182,189251,0.0,0.9162848812994585,0.4997917534360683
conv_socratic,2,2,abl-s0-conv_socratic-r2,live,0.0,0.48148148148148145,4.746031746031746,4.777777777777778,0.6666666666666666,1.0,1.0,21,27,24,44,68,13602,181346,186519,8429,194948,0.0,0.955741802676077,0.5881488016468166
conv_socratic,3,3,abl-s0-conv_socratic-r3,live,0.09090909090909091,0.8214285714285714,4.8939393939393945,4.9393939393939394,1.0,1.0,0.3333333333333333,22,28,24,45,69,12529,186303,191121,7711,198832,0.15962965919067762,1.8357410806927927,0.5587038071673717
conv_socratic,4,4,abl-s0-conv_socratic-r4,live,0.0,0.6333333333333333,4.833333333333333,4.833333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,24,30,24,56,80,9862,221669,225250,6281,231531,0.0,1.9265868992090853,0.4055972419387548
conv_socratic,5,5,abl-s0-conv_socratic-r5,live,0.0,0.9333333333333333,4.819444444444445,4.875,0.6666666666666666,1.0,1.0,24,30,24,55,79,12045,238396,243672,6769,250441,0.0,2.3246160232461603,0.66417600664176
conv_socratic,6,6,abl-s0-conv_socratic-r6,live,0.0,0.8333333333333334,4.777777777777778,4.861111111111112,1.0,1.0,1.0,12,18,24,44,68,15859,213381,220045,9195,229240,0.0,0.9458351724572798,0.5675011034743679
conv_socratic,7,7,abl-s0-conv_socratic-r7,live,0.041666666666666664,0.9333333333333333,4.652777777777778,4.597222222222222,1.0,1.0,0.6666666666666666,24,30,24,45,69,12894,178636,183737,7793,191530,0.07755545214828602,2.1715526601520088,0.6204436171862882
conv_socratic,8,8,abl-s0-conv_socratic-r8,live,0.041666666666666664,0.6,4.944444444444445,4.916666666666667,1.0,1.0,0.6666666666666666,24,30,24,48,72,11213,174618,179219,6612,185831,0.0891821992330331,1.6052795861945957,0.7134575938642648
conv_socratic,9,9,abl-s0-conv_socratic-r9,live,0.0,0.3333333333333333,4.75,5.0,1.0,1.0,1.0,24,30,24,43,67,10451,141041,145038,6454,151492,0.0,0.9568462348100659,0.8611616113290593
ped_no_cascade,0,0,abl-s0-ped_no_cascade-r0,live,0.041666666666666664,0.5,4.972222222222222,4.777777777777778,1.0,1.0,1.0,24,30,24,56,104,28648,237860,257884,8624,266508,0.03490645071209159,0.523596760681374,0.3141580564088243
ped_no_cascade,1,1,abl-s0-ped_no_cascade-r1,live,0.0,0.4666666666666667,4.791666666666667,4.833333333333333,1.0,1.0,0.6666666666666666,24,30,24,44,92,24370,129263,145923,7710,153633,0.0,0.5744768157570783,0.3282724661469019
ped_no_cascade,2,2,abl-s0-ped_no_cascade-r2,live,0.0,0.6,5.0,4.875,1.0,1.0,0.6666666666666666,24,30,24,44,92,29349,158323,179195,8477,187672,0.0,0.613308800981294,0.2725816893250196
ped_no_cascade,3,3,abl-s0-ped_no_cascade-r3,live,0.0,0.7333333333333333,5.0,4.833333333333333,1.0,1.0,1.0,24,30,24,43,91,25912,124230,142672,7470,150142,0.0,0.8490274776165484,0.3473294226613152
ped_no_cascade,4,4,abl-s0-ped_no_cascade-r4,live,0.08695652173913043,0.6896551724137931,4.956521739130435,4.782608695652174,1.0,0.6666666666666666,1.0,23,29,24,43,91,24818,122925,140770,6973,147743,0.08058667096462245,0.8058667096462244,0.3223466838584898
ped_no_cascade,5,5,abl-s0-ped_no_cascade-r5,live,0.0,0.6333333333333333,4.916666666666667,4.819444444444445,1.0,1.0,1.0,24,30,24,46,94,27218,162949,181703,8464,190167,0.0,0.6980674553604233,0.3306635314865163
ped_no_cascade,6,6,abl-s0-ped_no_cascade-r6,live,0.0,0.5,4.875,4.958333333333333,0.6666666666666666,1.0,1.0,24,30,24,43,91,25118,123949,141880,7187,149067,0.0,0.5971813042439685,0.3184966955967832
ped_no_cascade,7,7,abl-s0-ped_no_cascade-r7,live,0.125,0.8,4.986111111111112,4.597222222222222,1.0,1.0,1.0,24,30,24,43,91,27414,132448,152263,7599,159862,0.10943313635368788,0.8754650908295031,0.3282994090610637
ped_no_cascade,8,8,abl-s0-ped_no_cascade-r8,live,0.041666666666666664,0.5,5.0,4.916666666666667,1.0,1.0,0.6666666666666666,24,30,24,45,93,23954,137653,153563,8044,161607,0.04174668113884946,0.6262002170827419,0.3339734491107957
ped_no_cascade,9,9,abl-s0-ped_no_cascade-r9,live,0.041666666666666664,0.5333333333333333,4.986111111111112,4.944444444444445,1.0,1.0,1.0,24,30,24,44,92,26261,131836,151156,6941,158097,0.03807928106317353,0.6092684970107765,0.34271352956856177
ped_no_gate,0,0,abl-s0-ped_no_gate-r0,live,0.08333333333333333,0.6666666666666666,5.0,4.666666666666667,0.6666666666666666,1.0,1.0,24,30,24,43,91,32527,179232,202504,9255,211759,0.06148737971531343,0.6148737971531343,0.2459495188612537
ped_no_gate,1,1,abl-s0-ped_no_gate-r1,live,0.26666666666666666,0.6190476190476191,4.622222222222222,3.688888888888889,1.0,0.6666666666666666,1.0,15,21,24,43,91,30899,146211,169444,7666,177110,0.1294540276384349,0.4207255898249134,0.2589080552768698
ped_no_gate,2,2,abl-s0-ped_no_gate-r2,live,0.09090909090909091,0.75,4.803030303030304,4.257575757575758,1.0,1.0,1.0,22,28,24,43,91,32340,156116,180120,8336,188456,0.061842918985776124,0.6493506493506492,0.27829313543599254
ped_no_gate,3,3,abl-s0-ped_no_gate-r3,live,0.0,0.76,4.701754385964912,4.140350877192983,0.6666666666666666,1.0,1.0,19,25,24,44,92,29870,140754,163479,7145,170624,0.0,0.6360897221292267,0.26782725142283226
ped_no_gate,4,4,abl-s0-ped_no_gate-r4,live,0.0,0.9473684210526315,4.743589743589744,4.3076923076923075,1.0,0.6666666666666666,1.0,13,19,24,43,91,33595,169828,194563,8860,203423,0.0,0.5357940169668105,0.23813067420747136
ped_no_gate,5,5,abl-s0-ped_no_gate-r5,live,0.0625,0.9545454545454546,4.479166666666667,4.145833333333333,1.0,1.0,1.0,16,22,24,43,91,33122,155131,179288,8965,188253,0.03019141356198297,0.6340196848016424,0.27172272205784676
ped_no_gate,6,6,abl-s0-ped_no_gate-r6,live,0.09523809523809523,0.48148148148148145,4.841269841269842,4.380952380952381,1.0,1.0,1.0,21,27,24,43,91,31520,163097,185578,9039,194617,0.06345177664974619,0.41243654822335024,0.28553299492385786
ped_no_gate,7,7,abl-s0-ped_no_gate-r7,live,0.0,1.0,4.651515151515151,3.8787878787878785,0.6666666666666666,0.6666666666666666,1.0,22,28,24,44,92,30428,152907,174735,8600,183335,0.0,0.9202050742736952,0.2300512685684238
ped_no_gate,8,8,abl-s0-ped_no_gate-r8,live,0.08333333333333333,0.7,4.861111111111112,4.527777777777778,0.6666666666666666,0.6666666666666666,1.0,24,30,24,56,104,25919,201925,221013,6831,227844,0.07716347081291716,0.8102164435356303,0.27007214784521005
ped_no_gate,9,9,abl-s0-ped_no_gate-r9,live,0.06666666666666667,0.6666666666666666,4.8,4.577777777777778,1.0,1.0,0.6666666666666666,15,21,24,44,92,29904,154716,176442,8178,184620,0.03344034242910648,0.4681647940074906,0.2675227394328518
ped_no_tracker,0,0,abl-s0-ped_no_tracker-r0,live,0.08333333333333333,0.8333333333333334,4.777777777777778,4.5,1.0,1.0,1.0,12,18,24,43,67,21239,220988,231878,10349,242227,0.04708319600734498,0.7062479401101747,0.4237487640661048
ped_no_tracker,1,1,abl-s0-ped_no_tracker-r1,live,0.043478260869565216,0.6206896551724138,4.811594202898551,4.318840579710145,0.6666666666666666,1.0,1.0,23,29,24,43,67,13877,134334,141821,6390,148211,0.07206168480219068,1.2971103264394321,0.5764934784175254
ped_no_tracker,2,2,abl-s0-ped_no_tracker-r2,live,0.045454545454545456,0.6071428571428571,4.681818181818182,4.378787878787879,1.0,1.0,1.0,22,28,24,46,70,13030,160383,166726,6687,173413,0.07674597083653109,1.3046815042210285,0.6907137375287797
ped_no_tracker,3,3,abl-s0-ped_no_tracker-r3,live,0.0,0.5333333333333333,4.944444444444445,4.694444444444445,1.0,1.0,1.0,24,30,24,43,67,13473,146277,153261,6489,159750,0.0,1.1875603057967787,0.668002672010688
