condition,replicate_id,n_sessions,backend,leakage_rate,independence_ratio,helpfulness_mean,pedagogy_mean,acc_immediate,acc_delayed,acc_transfer,tutor_tokens,total_tokens,n_model_calls,visible_tutor_turns
cold,0,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,159018.0,38.0,0.0
cold,1,1,live,,,,,1.0,1.0,1.0,0.0,108202.0,38.0,0.0
cold,2,1,live,,,,,1.0,1.0,1.0,0.0,157109.0,38.0,0.0
cold,3,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,113650.0,38.0,0.0
cold,4,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,122871.0,38.0,0.0
cold,5,1,live,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,110056.0,38.0,0.0
cold,6,1,live,,,,,1.0,1.0,1.0,0.0,131438.0,38.0,0.0
cold,7,1,live,,,,,1.0,1.0,1.0,0.0,115834.0,38.0,0.0
cold,8,1,live,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,98050.0,38.0,0.0
cold,9,1,live,,,,,1.0,1.0,1.0,0.0,117096.0,38.0,0.0
conv,0,1,live,0.36363636363636365,0.4117647058823529,4.818181818181818,3.0,1.0,1.0,0.6666666666666666,26801.0,334461.0,67.0,24.0
conv,1,1,live,0.3333333333333333,0.5238095238095238,4.888888888888888,3.3333333333333335,1.0,0.6666666666666666,1.0,18200.0,250381.0,69.0,24.0
conv,2,1,live,0.7777777777777778,0.5333333333333333,5.0,1.7777777777777777,1.0,0.6666666666666666,0.3333333333333333,20331.0,265692.0,68.0,24.0
conv,3,1,live,0.42857142857142855,0.7692307692307693,5.0,2.9047619047619047,1.0,1.0,0.6666666666666666,24580.0,298630.0,67.0,24.0
conv,4,1,live,0.14285714285714285,0.7777777777777778,4.555555555555555,3.365079365079365,1.0,1.0,0.6666666666666666,17657.0,238809.0,68.0,24.0
conv,5,1,live,0.5555555555555556,0.4166666666666667,4.444444444444445,1.9814814814814814,1.0,1.0,1.0,18920.0,248322.0,69.0,24.0
conv,6,1,live,0.3333333333333333,0.5,4.527777777777778,2.5833333333333335,1.0,1.0,1.0,20093.0,268882.0,67.0,24.0
conv,7,1,live,0.7777777777777778,0.8,4.7407407407407405,1.6296296296296295,1.0,1.0,1.0,20323.0,250471.0,67.0,24.0
conv,8,1,live,0.25,0.3333333333333333,4.055555555555555,2.055555555555556,1.0,1.0,1.0,21307.0,294859.0,69.0,24.0
conv,9,1,live,0.3333333333333333,0.7333333333333333,5.0,3.148148148148148,1.0,1.0,1.0,19405.0,240392.0,67.0,24.0
ped,0,1,live,0.041666666666666664,0.5666666666666667,4.847222222222222,4.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,27356.0,174119.0,93.0,24.0
ped,1,1,live,0.0,0.5517241379310345,4.913043478260869,4.768115942028985,1.0,1.0,1.0,25758.0,151858.0,91.0,24.0
ped,2,1,live,0.041666666666666664,0.6666666666666666,4.958333333333333,4.263888888888888,1.0,1.0,1.0,28181.0,170984.0,91.0,24.0
ped,3,1,live,0.041666666666666664,0.7666666666666667,4.625,4.055555555555555,0.3333333333333333,1.0,1.0,33641.0,206583.0,92.0,24.0
ped,4,1,live,0.2222222222222222,0.6666666666666666,4.777777777777778,4.0,1.0,1.0,1.0,32287.0,194499.0,92.0,24.0
ped,5,1,live,0.08695652173913043,0.6896551724137931,4.869565217391305,4.3478260869565215,0.6666666666666666,1.0,1.0,30443.0,189487.0,91.0,24.0
ped,6,1,live,0.20833333333333334,0.43333333333333335,4.583333333333333,3.4305555555555554,1.0,0.6666666666666666,1.0,30658.0,181211.0,91.0,24.0
ped,7,1,live,0.0,0.72,4.7894736842105265,4.5438596491228065,1.0,1.0,1.0,29090.0,190441.0,92.0,24.0
ped,8,1,live,0.0,0.7857142857142857,4.621212121212121,4.363636363636363,0.6666666666666666,1.0,1.0,30910.0,191770.0,91.0,24.0
ped,9,1,live,0.0,0.7142857142857143,4.984848484848485,4.712121212121212,0.6666666666666666,1.0,0.6666666666666666,32434.0,223896.0,92.0,24.0
