condition,replicate_id,n_sessions,backend,leakage_rate,independence_ratio,helpfulness_mean,pedagogy_mean,acc_immediate,acc_delayed,acc_transfer,tutor_tokens,total_tokens,n_model_calls,visible_tutor_turns
cold,0,1,live,,,,,1.0,1.0,1.0,0.0,108012.0,38.0,0.0
cold,1,1,live,,,,,0.6666666666666666,1.0,1.0,0.0,134280.0,38.0,0.0
cold,2,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,161216.0,38.0,0.0
cold,3,1,live,,,,,0.6666666666666666,0.6666666666666666,1.0,0.0,68668.0,20.0,0.0
cold,4,1,live,,,,,0.6666666666666666,0.6666666666666666,1.0,0.0,146569.0,38.0,0.0
cold,5,1,live,,,,,0.0,1.0,0.3333333333333333,0.0,104848.0,38.0,0.0
cold,6,1,live,,,,,1.0,1.0,0.3333333333333333,0.0,135931.0,38.0,0.0
cold,7,1,live,,,,,1.0,1.0,1.0,0.0,64052.0,20.0,0.0
cold,8,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,62290.0,27.0,0.0
cold,9,1,live,,,,,1.0,0.6666666666666666,1.0,0.0,123490.0,38.0,0.0
conv,0,1,live,1.0,0.6666666666666666,4.722222222222222,1.0,0.6666666666666666,1.0,0.6666666666666666,14824.0,225731.0,68.0,24.0
conv,1,1,live,0.9523809523809523,0.3333333333333333,4.428571428571429,1.8888888888888888,1.0,1.0,0.6666666666666666,15427.0,234374.0,71.0,24.0
conv,2,1,live,0.5833333333333334,0.5,4.805555555555555,2.0833333333333335,1.0,1.0,0.3333333333333333,17674.0,261933.0,68.0,24.0
conv,3,1,live,0.7142857142857143,0.4444444444444444,4.317460317460318,1.7460317460317458,1.0,1.0,1.0,19690.0,282655.0,67.0,24.0
conv,4,1,live,0.782608695652174,0.20689655172413793,4.63768115942029,1.9130434782608696,1.0,1.0,1.0,13421.0,190844.0,67.0,24.0
conv,5,1,live,0.8181818181818182,0.47058823529411764,4.454545454545455,1.6060606060606057,1.0,1.0,1.0,15988.0,243276.0,67.0,24.0
conv,6,1,live,0.8333333333333334,0.3333333333333333,3.8611111111111107,1.3888888888888886,1.0,0.6666666666666666,1.0,13510.0,200913.0,67.0,24.0
conv,7,1,live,0.5217391304347826,0.3793103448275862,4.855072463768116,2.2753623188405796,1.0,1.0,1.0,17640.0,371323.0,77.0,24.0
conv,8,1,live,0.6666666666666666,0.4,4.925925925925926,1.6296296296296298,0.6666666666666666,1.0,1.0,22122.0,313487.0,68.0,24.0
conv,9,1,live,0.782608695652174,0.034482758620689655,3.9565217391304346,1.565217391304348,1.0,1.0,1.0,17023.0,271112.0,68.0,24.0
ped,0,1,live,0.16666666666666666,0.8333333333333334,4.861111111111112,3.8194444444444446,0.6666666666666666,1.0,1.0,31059.0,205009.0,94.0,24.0
ped,1,1,live,0.0,1.0,4.688888888888888,3.9777777777777774,0.6666666666666666,0.3333333333333333,0.6666666666666666,35065.0,211777.0,91.0,24.0
ped,2,1,live,0.047619047619047616,0.5555555555555556,4.857142857142857,4.0476190476190474,1.0,1.0,1.0,28628.0,191330.0,92.0,24.0
ped,3,1,live,0.0,0.8666666666666667,4.791666666666667,4.166666666666667,0.6666666666666666,1.0,0.3333333333333333,29210.0,196750.0,92.0,24.0
ped,4,1,live,0.045454545454545456,0.8214285714285714,4.833333333333333,4.287878787878788,1.0,1.0,1.0,28522.0,172816.0,91.0,24.0
ped,5,1,live,0.041666666666666664,0.9,5.0,3.6805555555555554,0.3333333333333333,0.6666666666666666,1.0,29734.0,205856.0,95.0,24.0
ped,6,1,live,0.08333333333333333,0.36666666666666664,4.944444444444445,4.083333333333334,0.6666666666666666,0.6666666666666666,1.0,24119.0,168878.0,93.0,24.0
ped,7,1,live,0.2222222222222222,0.7916666666666666,4.907407407407407,3.8518518518518525,1.0,1.0,1.0,33777.0,208212.0,93.0,24.0
ped,8,1,live,0.0,0.5666666666666667,4.930555555555556,4.444444444444445,1.0,0.6666666666666666,0.6666666666666666,26644.0,176995.0,91.0,24.0
ped,9,1,live,0.09090909090909091,0.6428571428571429,4.909090909090909,4.378787878787879,0.6666666666666666,0.0,0.3333333333333333,29718.0,281152.0,99.0,24.0
