condition,replicate_id,seed,run_id,backend,leakage_rate,independence_ratio,helpfulness_mean,pedagogy_mean,acc_immediate,acc_delayed,acc_transfer,n_train_tutor_turns,n_train_student_turns,visible_tutor_turns,student_turns,n_model_calls,tutor_tokens,student_tokens,input_tokens,output_tokens,total_tokens,leaky_turns_per_1k_tutor_tok,independent_turns_per_1k_tutor_tok,correct_probes_per_1k_tutor_tok
cold,0,0,conf-gpt-s0-cold-r0,live,,,,,1.0,1.0,1.0,0,0,0,38,38,0,108012,105364,2648,108012,,,
cold,1,1,conf-gpt-s0-cold-r1,live,,,,,0.6666666666666666,1.0,1.0,0,0,0,38,38,0,134280,130140,4140,134280,,,
cold,2,2,conf-gpt-s0-cold-r2,live,,,,,1.0,1.0,0.6666666666666666,0,0,0,38,38,0,161216,156047,5169,161216,,,
cold,3,3,conf-gpt-s0-cold-r3,live,,,,,0.6666666666666666,0.6666666666666666,1.0,0,0,0,20,20,0,68668,63460,5208,68668,,,
cold,4,4,conf-gpt-s0-cold-r4,live,,,,,0.6666666666666666,0.6666666666666666,1.0,0,0,0,38,38,0,146569,141476,5093,146569,,,
cold,5,5,conf-gpt-s0-cold-r5,live,,,,,0.0,1.0,0.3333333333333333,0,0,0,38,38,0,104848,102200,2648,104848,,,
cold,6,6,conf-gpt-s0-cold-r6,live,,,,,1.0,1.0,0.3333333333333333,0,0,0,38,38,0,135931,131500,4431,135931,,,
cold,7,7,conf-gpt-s0-cold-r7,live,,,,,1.0,1.0,1.0,0,0,0,20,20,0,64052,59418,4634,64052,,,
cold,8,8,conf-gpt-s0-cold-r8,live,,,,,1.0,1.0,0.6666666666666666,0,0,0,27,27,0,62290,59152,3138,62290,,,
cold,9,9,conf-gpt-s0-cold-r9,live,,,,,1.0,0.6666666666666666,1.0,0,0,0,38,38,0,123490,120117,3373,123490,,,
conv,0,0,conf-gpt-s0-conv-r0,live,1.0,0.6666666666666666,4.722222222222222,1.0,0.6666666666666666,1.0,0.6666666666666666,6,12,24,44,68,14824,210907,217755,7976,225731,0.404749055585537,0.5396654074473827,0.4722072315164598
conv,1,1,conf-gpt-s0-conv-r1,live,0.9523809523809523,0.3333333333333333,4.428571428571429,1.8888888888888888,1.0,1.0,0.6666666666666666,21,27,24,47,71,15427,218947,226267,8107,234374,1.2964283399235108,0.5833927529655798,0.5185713359694043
conv,2,2,conf-gpt-s0-conv-r2,live,0.5833333333333334,0.5,4.805555555555555,2.0833333333333335,1.0,1.0,0.3333333333333333,12,18,24,44,68,17674,244259,252286,9647,261933,0.39606201199502095,0.5092225868507412,0.39606201199502095
conv,3,3,conf-gpt-s0-conv-r3,live,0.7142857142857143,0.4444444444444444,4.317460317460318,1.7460317460317458,1.0,1.0,1.0,21,27,24,43,67,19690,262965,272085,10570,282655,0.7618080243778568,0.6094464195022854,0.457084814626714
conv,4,4,conf-gpt-s0-conv-r4,live,0.782608695652174,0.20689655172413793,4.63768115942029,1.9130434782608696,1.0,1.0,1.0,23,29,24,43,67,13421,177423,183533,7311,190844,1.341181730124432,0.447060576708144,0.670590865062216
conv,5,5,conf-gpt-s0-conv-r5,live,0.8181818181818182,0.47058823529411764,4.454545454545455,1.6060606060606057,1.0,1.0,1.0,11,17,24,43,67,15988,227288,234994,8282,243276,0.5629221916437328,0.5003752814610959,0.5629221916437328
conv,6,6,conf-gpt-s0-conv-r6,live,0.8333333333333334,0.3333333333333333,3.8611111111111107,1.3888888888888886,1.0,0.6666666666666666,1.0,12,18,24,43,67,13510,187403,193261,7652,200913,0.7401924500370096,0.4441154700222058,0.5921539600296077
conv,7,7,conf-gpt-s0-conv-r7,live,0.5217391304347826,0.3793103448275862,4.855072463768116,2.2753623188405796,1.0,1.0,1.0,23,29,24,53,77,17640,353683,361185,10138,371323,0.6802721088435374,0.6235827664399093,0.5102040816326531
conv,8,8,conf-gpt-s0-conv-r8,live,0.6666666666666666,0.4,4.925925925925926,1.6296296296296298,0.6666666666666666,1.0,1.0,9,15,24,44,68,22122,291365,301925,11562,313487,0.27122321670735017,0.27122321670735017,0.3616309556098002
conv,9,9,conf-gpt-s0-conv-r9,live,0.782608695652174,0.034482758620689655,3.9565217391304346,1.565217391304348,1.0,1.0,1.0,23,29,24,44,68,17023,254089,261139,9973,271112,1.05739293896493,0.05874405216471832,0.528696469482465
ped,0,0,conf-gpt-s0-ped-r0,live,0.16666666666666666,0.8333333333333334,4.861111111111112,3.8194444444444446,0.6666666666666666,1.0,1.0,24,30,24,46,94,31059,173950,196451,8558,205009,0.12878714704272512,0.804919669017032,0.25757429408545024
ped,1,1,conf-gpt-s0-ped-r1,live,0.0,1.0,4.688888888888888,3.9777777777777774,0.6666666666666666,0.3333333333333333,0.6666666666666666,15,21,24,43,91,35065,176712,202303,9474,211777,0.0,0.5988877798374448,0.14259232853272494
ped,2,2,conf-gpt-s0-ped-r2,live,0.047619047619047616,0.5555555555555556,4.857142857142857,4.0476190476190474,1.0,1.0,1.0,21,27,24,44,92,28628,162702,183436,7894,191330,0.03493083694285315,0.5239625541427972,0.31437753248567835
ped,3,3,conf-gpt-s0-ped-r3,live,0.0,0.8666666666666667,4.791666666666667,4.166666666666667,0.6666666666666666,1.0,0.3333333333333333,24,30,24,44,92,29210,167540,187783,8967,196750,0.0,0.890106128038343,0.20540910647038685
ped,4,4,conf-gpt-s0-ped-r4,live,0.045454545454545456,0.8214285714285714,4.833333333333333,4.287878787878788,1.0,1.0,1.0,22,28,24,43,91,28522,144294,165143,7673,172816,0.035060654933034154,0.8063950634597855,0.31554589439730735
ped,5,5,conf-gpt-s0-ped-r5,live,0.041666666666666664,0.9,5.0,3.6805555555555554,0.3333333333333333,0.6666666666666666,1.0,24,30,24,47,95,29734,176122,198283,7573,205856,0.033631532925270734,0.9080513889823097,0.2017891975516244
ped,6,6,conf-gpt-s0-ped-r6,live,0.08333333333333333,0.36666666666666664,4.944444444444445,4.083333333333334,0.6666666666666666,0.6666666666666666,1.0,24,30,24,45,93,24119,144759,161581,7297,168878,0.0829221775363821,0.45607197645010156,0.2902276213773374
ped,7,7,conf-gpt-s0-ped-r7,live,0.2222222222222222,0.7916666666666666,4.907407407407407,3.8518518518518525,1.0,1.0,1.0,18,24,24,45,93,33777,174435,199279,8933,208212,0.11842377949492258,0.5625129526008822,0.2664535038635758
ped,8,8,conf-gpt-s0-ped-r8,live,0.0,0.5666666666666667,4.930555555555556,4.444444444444445,1.0,0.6666666666666666,0.6666666666666666,24,30,24,43,91,26644,150351,168495,8500,176995,0.0,0.6380423359855878,0.262723314817595
ped,9,9,conf-gpt-s0-ped-r9,live,0.09090909090909091,0.6428571428571429,4.909090909090909,4.378787878787879,0.6666666666666666,0.0,0.3333333333333333,22,28,24,51,99,29718,251434,270542,10610,281152,0.0672992798977051,0.6056935190793459,0.10094891984655764
