condition,replicate_id,n_sessions,backend,leakage_rate,independence_ratio,helpfulness_mean,pedagogy_mean,acc_immediate,acc_delayed,acc_transfer,tutor_tokens,total_tokens,n_model_calls,visible_tutor_turns
cold,0,1,live,,,,,0.3333333333333333,0.0,0.0,0.0,99408.0,38.0,0.0
cold,1,1,live,,,,,1.0,0.6666666666666666,0.3333333333333333,0.0,125585.0,38.0,0.0
cold,2,1,live,,,,,1.0,1.0,1.0,0.0,172950.0,38.0,0.0
cold,3,1,live,,,,,1.0,0.6666666666666666,1.0,0.0,120364.0,38.0,0.0
cold,4,1,live,,,,,1.0,1.0,1.0,0.0,118804.0,38.0,0.0
cold,5,1,live,,,,,1.0,1.0,1.0,0.0,117954.0,38.0,0.0
cold,6,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,123151.0,37.0,0.0
cold,7,1,live,,,,,1.0,1.0,1.0,0.0,72635.0,21.0,0.0
cold,8,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,106152.0,38.0,0.0
cold,9,1,live,,,,,0.3333333333333333,0.0,0.0,0.0,98142.0,38.0,0.0
conv,0,1,live,0.0,0.7727272727272727,5.0,5.0,1.0,1.0,1.0,18830.0,271483.0,67.0,24.0
conv,1,1,live,0.08695652173913043,0.9310344827586207,5.0,4.9855072463768115,1.0,0.6666666666666666,1.0,15302.0,227500.0,67.0,24.0
conv,2,1,live,0.20833333333333334,0.5666666666666667,5.0,4.805555555555555,1.0,1.0,1.0,18532.0,411683.0,80.0,24.0
conv,3,1,live,0.20833333333333334,0.6666666666666666,4.958333333333333,4.819444444444445,0.6666666666666666,1.0,1.0,19482.0,425188.0,79.0,24.0
conv,4,1,live,0.05555555555555555,0.7916666666666666,5.0,4.9259259259259265,1.0,1.0,1.0,15710.0,222329.0,67.0,24.0
conv,5,1,live,0.041666666666666664,0.7666666666666667,5.0,5.0,1.0,1.0,1.0,11809.0,289712.0,80.0,24.0
conv,6,1,live,0.09523809523809523,0.7777777777777778,4.984126984126984,4.873015873015873,1.0,1.0,0.6666666666666666,18181.0,270643.0,68.0,24.0
conv,7,1,live,0.16666666666666666,0.8666666666666667,4.986111111111112,4.930555555555555,1.0,1.0,1.0,15125.0,232184.0,68.0,24.0
conv,8,1,live,0.20833333333333334,0.5666666666666667,5.0,5.0,1.0,0.3333333333333333,1.0,15065.0,234440.0,69.0,24.0
conv,9,1,live,0.058823529411764705,0.6521739130434783,5.0,5.0,1.0,1.0,0.6666666666666666,15615.0,260736.0,71.0,24.0
ped,0,1,live,0.125,0.7333333333333333,5.0,4.986111111111112,0.6666666666666666,1.0,1.0,27531.0,189047.0,93.0,24.0
ped,1,1,live,0.1875,0.8181818181818182,4.770833333333333,4.9375,1.0,0.6666666666666666,0.6666666666666666,32564.0,200551.0,91.0,24.0
ped,2,1,live,0.0,0.23333333333333334,4.972222222222222,4.986111111111112,1.0,0.6666666666666666,0.6666666666666666,23815.0,169729.0,93.0,24.0
ped,3,1,live,0.0,0.26666666666666666,4.958333333333333,4.958333333333333,1.0,1.0,1.0,24571.0,166406.0,93.0,24.0
ped,4,1,live,0.14285714285714285,0.7407407407407407,4.777777777777778,4.888888888888889,1.0,1.0,1.0,29809.0,206817.0,95.0,24.0
ped,5,1,live,0.125,0.9,4.986111111111112,4.972222222222222,1.0,0.6666666666666666,1.0,31195.0,195518.0,92.0,24.0
ped,6,1,live,0.043478260869565216,0.6551724137931034,4.956521739130435,4.913043478260869,1.0,0.6666666666666666,1.0,30111.0,196227.0,91.0,24.0
ped,7,1,live,0.08333333333333333,0.9,4.902777777777778,4.930555555555555,0.6666666666666666,1.0,1.0,31771.0,308610.0,104.0,24.0
ped,8,1,live,0.0,0.7241379310344828,5.0,4.971014492753623,1.0,1.0,1.0,27425.0,182854.0,92.0,24.0
ped,9,1,live,0.041666666666666664,0.5666666666666667,4.958333333333333,4.958333333333333,1.0,1.0,1.0,24242.0,152942.0,91.0,24.0
