condition,replicate_id,seed,run_id,backend,leakage_rate,independence_ratio,helpfulness_mean,pedagogy_mean,acc_immediate,acc_delayed,acc_transfer,n_train_tutor_turns,n_train_student_turns,visible_tutor_turns,student_turns,n_model_calls,tutor_tokens,student_tokens,input_tokens,output_tokens,total_tokens,leaky_turns_per_1k_tutor_tok,independent_turns_per_1k_tutor_tok,correct_probes_per_1k_tutor_tok
cold,0,0,conf-gemini-s0-cold-r0,live,,,,,0.3333333333333333,0.0,0.0,0,0,0,38,38,0,99408,97018,2390,99408,,,
cold,1,1,conf-gemini-s0-cold-r1,live,,,,,1.0,0.6666666666666666,0.3333333333333333,0,0,0,38,38,0,125585,121542,4043,125585,,,
cold,2,2,conf-gemini-s0-cold-r2,live,,,,,1.0,1.0,1.0,0,0,0,38,38,0,172950,167149,5801,172950,,,
cold,3,3,conf-gemini-s0-cold-r3,live,,,,,1.0,0.6666666666666666,1.0,0,0,0,38,38,0,120364,117087,3277,120364,,,
cold,4,4,conf-gemini-s0-cold-r4,live,,,,,1.0,1.0,1.0,0,0,0,38,38,0,118804,115690,3114,118804,,,
cold,5,5,conf-gemini-s0-cold-r5,live,,,,,1.0,1.0,1.0,0,0,0,38,38,0,117954,114644,3310,117954,,,
cold,6,6,conf-gemini-s0-cold-r6,live,,,,,1.0,1.0,0.6666666666666666,0,0,0,37,37,0,123151,119443,3708,123151,,,
cold,7,7,conf-gemini-s0-cold-r7,live,,,,,1.0,1.0,1.0,0,0,0,21,21,0,72635,67706,4929,72635,,,
cold,8,8,conf-gemini-s0-cold-r8,live,,,,,1.0,1.0,0.6666666666666666,0,0,0,38,38,0,106152,103351,2801,106152,,,
cold,9,9,conf-gemini-s0-cold-r9,live,,,,,0.3333333333333333,0.0,0.0,0,0,0,38,38,0,98142,96004,2138,98142,,,
conv,0,0,conf-gemini-s0-conv-r0,live,0.0,0.7727272727272727,5.0,5.0,1.0,1.0,1.0,16,22,24,43,67,18830,252653,260878,10605,271483,0.0,0.9028146574614977,0.4779607010090282
conv,1,1,conf-gemini-s0-conv-r1,live,0.08695652173913043,0.9310344827586207,5.0,4.9855072463768115,1.0,0.6666666666666666,1.0,23,29,24,43,67,15302,212198,218659,8841,227500,0.13070186903672723,1.7644752319958177,0.5228074761469089
conv,2,2,conf-gemini-s0-conv-r2,live,0.20833333333333334,0.5666666666666667,5.0,4.805555555555555,1.0,1.0,1.0,24,30,24,56,80,18532,393151,400544,11139,411683,0.26980358299158214,0.9173321821713792,0.48564644938484786
conv,3,3,conf-gemini-s0-conv-r3,live,0.20833333333333334,0.6666666666666666,4.958333333333333,4.819444444444445,0.6666666666666666,1.0,1.0,24,30,24,55,79,19482,405706,413889,11299,425188,0.256647161482394,1.026588645929576,0.4106354583718304
conv,4,4,conf-gemini-s0-conv-r4,live,0.05555555555555555,0.7916666666666666,5.0,4.9259259259259265,1.0,1.0,1.0,18,24,24,43,67,15710,206619,213159,9170,222329,0.06365372374283895,1.20942075111394,0.5728835136855506
conv,5,5,conf-gemini-s0-conv-r5,live,0.041666666666666664,0.7666666666666667,5.0,5.0,1.0,1.0,1.0,24,30,24,56,80,11809,277903,282356,7356,289712,0.0846811753747142,1.9476670336184267,0.7621305783724278
conv,6,6,conf-gemini-s0-conv-r6,live,0.09523809523809523,0.7777777777777778,4.984126984126984,4.873015873015873,1.0,1.0,0.6666666666666666,21,27,24,44,68,18181,252462,260582,10061,270643,0.11000495022276002,1.1550519773389802,0.4400198008910401
conv,7,7,conf-gemini-s0-conv-r7,live,0.16666666666666666,0.8666666666666667,4.986111111111112,4.930555555555555,1.0,1.0,1.0,24,30,24,44,68,15125,217059,223387,8797,232184,0.2644628099173554,1.71900826446281,0.5950413223140496
conv,8,8,conf-gemini-s0-conv-r8,live,0.20833333333333334,0.5666666666666667,5.0,5.0,1.0,0.3333333333333333,1.0,24,30,24,45,69,15065,219375,225692,8748,234440,0.3318951211417192,1.1284434118818454,0.4646531695984069
conv,9,9,conf-gemini-s0-conv-r9,live,0.058823529411764705,0.6521739130434783,5.0,5.0,1.0,1.0,0.6666666666666666,17,23,24,47,71,15615,245121,251210,9526,260736,0.06404098623118797,0.9606147934678194,0.5123278898495037
ped,0,0,conf-gemini-s0-ped-r0,live,0.125,0.7333333333333333,5.0,4.986111111111112,0.6666666666666666,1.0,1.0,24,30,24,45,93,27531,161516,180915,8132,189047,0.10896807235480005,0.7990991972685337,0.2905815262794668
ped,1,1,conf-gemini-s0-ped-r1,live,0.1875,0.8181818181818182,4.770833333333333,4.9375,1.0,0.6666666666666666,0.6666666666666666,16,22,24,43,91,32564,167987,192462,8089,200551,0.09212627441346272,0.5527576464807763,0.21496130696474636
ped,2,2,conf-gemini-s0-ped-r2,live,0.0,0.23333333333333334,4.972222222222222,4.986111111111112,1.0,0.6666666666666666,0.6666666666666666,24,30,24,45,93,23815,145914,161269,8460,169729,0.0,0.29393239554902373,0.29393239554902373
ped,3,3,conf-gemini-s0-ped-r3,live,0.0,0.26666666666666666,4.958333333333333,4.958333333333333,1.0,1.0,1.0,24,30,24,45,93,24571,141835,158508,7898,166406,0.0,0.3255870741931545,0.3662854584672988
ped,4,4,conf-gemini-s0-ped-r4,live,0.14285714285714285,0.7407407407407407,4.777777777777778,4.888888888888889,1.0,1.0,1.0,21,27,24,47,95,29809,177008,198455,8362,206817,0.10064074608339763,0.6709383072226508,0.3019222382501929
ped,5,5,conf-gemini-s0-ped-r5,live,0.125,0.9,4.986111111111112,4.972222222222222,1.0,0.6666666666666666,1.0,24,30,24,44,92,31195,164323,187425,8093,195518,0.09616925789389325,0.8655233210450393,0.25645135438371536
ped,6,6,conf-gemini-s0-ped-r6,live,0.043478260869565216,0.6551724137931034,4.956521739130435,4.913043478260869,1.0,0.6666666666666666,1.0,23,29,24,43,91,30111,166116,187549,8678,196227,0.033210454651124176,0.6309986383713593,0.2656836372089934
ped,7,7,conf-gemini-s0-ped-r7,live,0.08333333333333333,0.9,4.902777777777778,4.930555555555555,0.6666666666666666,1.0,1.0,24,30,24,56,104,31771,276839,299441,9169,308610,0.0629504894400554,0.8498316074407478,0.2518019577602216
ped,8,8,conf-gemini-s0-ped-r8,live,0.0,0.7241379310344828,5.0,4.971014492753623,1.0,1.0,1.0,23,29,24,44,92,27425,155429,174625,8229,182854,0.0,0.7657247037374658,0.3281677301731996
ped,9,9,conf-gemini-s0-ped-r9,live,0.041666666666666664,0.5666666666666667,4.958333333333333,4.958333333333333,1.0,1.0,1.0,24,30,24,43,91,24242,128700,145714,7228,152942,0.041250721887633034,0.7012622720897616,0.3712564969886973
