condition,replicate_id,n_sessions,backend,leakage_rate,independence_ratio,helpfulness_mean,pedagogy_mean,acc_immediate,acc_delayed,acc_transfer,tutor_tokens,total_tokens,n_model_calls,visible_tutor_turns
cold,0,1,live,,,,,1.0,1.0,1.0,0.0,108012.0,38.0,0.0
cold,1,1,live,,,,,0.6666666666666666,1.0,1.0,0.0,134280.0,38.0,0.0
cold,2,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,161216.0,38.0,0.0
cold,3,1,live,,,,,0.6666666666666666,0.6666666666666666,1.0,0.0,68668.0,20.0,0.0
cold,4,1,live,,,,,0.6666666666666666,0.6666666666666666,1.0,0.0,146569.0,38.0,0.0
cold,5,1,live,,,,,0.0,1.0,0.3333333333333333,0.0,104848.0,38.0,0.0
cold,6,1,live,,,,,1.0,1.0,0.3333333333333333,0.0,135931.0,38.0,0.0
cold,7,1,live,,,,,1.0,1.0,1.0,0.0,64052.0,20.0,0.0
cold,8,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,62290.0,27.0,0.0
cold,9,1,live,,,,,1.0,0.6666666666666666,1.0,0.0,123490.0,38.0,0.0
conv,0,1,live,1.0,0.6666666666666666,5.0,2.0,0.6666666666666666,1.0,0.6666666666666666,14824.0,225731.0,68.0,24.0
conv,1,1,live,0.9523809523809523,0.3333333333333333,5.0,3.365079365079365,1.0,1.0,0.6666666666666666,15427.0,234374.0,71.0,24.0
conv,2,1,live,0.5833333333333334,0.5,5.0,2.9444444444444446,1.0,1.0,0.3333333333333333,17674.0,261933.0,68.0,24.0
conv,3,1,live,0.7142857142857143,0.4444444444444444,5.0,3.015873015873016,1.0,1.0,1.0,19690.0,282655.0,67.0,24.0
conv,4,1,live,0.782608695652174,0.20689655172413793,5.0,3.217391304347826,1.0,1.0,1.0,13421.0,190844.0,67.0,24.0
conv,5,1,live,0.8181818181818182,0.47058823529411764,5.0,2.7575757575757573,1.0,1.0,1.0,15988.0,243276.0,67.0,24.0
conv,6,1,live,0.8333333333333334,0.3333333333333333,5.0,2.6666666666666665,1.0,0.6666666666666666,1.0,13510.0,200913.0,67.0,24.0
conv,7,1,live,0.5217391304347826,0.3793103448275862,5.0,3.3333333333333335,1.0,1.0,1.0,17640.0,371323.0,77.0,24.0
conv,8,1,live,0.6666666666666666,0.4,5.0,2.740740740740741,0.6666666666666666,1.0,1.0,22122.0,313487.0,68.0,24.0
conv,9,1,live,0.782608695652174,0.034482758620689655,5.0,2.869565217391304,1.0,1.0,1.0,17023.0,271112.0,68.0,24.0
ped,0,1,live,0.16666666666666666,0.8333333333333334,4.888888888888888,4.875,0.6666666666666666,1.0,1.0,31059.0,205009.0,94.0,24.0
ped,1,1,live,0.0,1.0,4.733333333333333,4.866666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,35065.0,211777.0,91.0,24.0
ped,2,1,live,0.047619047619047616,0.5555555555555556,4.9523809523809526,4.888888888888889,1.0,1.0,1.0,28628.0,191330.0,92.0,24.0
ped,3,1,live,0.0,0.8666666666666667,4.777777777777778,4.888888888888888,0.6666666666666666,1.0,0.3333333333333333,29210.0,196750.0,92.0,24.0
ped,4,1,live,0.045454545454545456,0.8214285714285714,4.833333333333333,5.0,1.0,1.0,1.0,28522.0,172816.0,91.0,24.0
ped,5,1,live,0.041666666666666664,0.9,4.972222222222222,4.958333333333333,0.3333333333333333,0.6666666666666666,1.0,29734.0,205856.0,95.0,24.0
ped,6,1,live,0.08333333333333333,0.36666666666666664,4.986111111111112,4.902777777777778,0.6666666666666666,0.6666666666666666,1.0,24119.0,168878.0,93.0,24.0
ped,7,1,live,0.2222222222222222,0.7916666666666666,5.0,4.9259259259259265,1.0,1.0,1.0,33777.0,208212.0,93.0,24.0
ped,8,1,live,0.0,0.5666666666666667,5.0,4.916666666666667,1.0,0.6666666666666666,0.6666666666666666,26644.0,176995.0,91.0,24.0
ped,9,1,live,0.09090909090909091,0.6428571428571429,5.0,4.863636363636363,0.6666666666666666,0.0,0.3333333333333333,29718.0,281152.0,99.0,24.0
