condition,replicate_id,n_sessions,backend,leakage_rate,independence_ratio,helpfulness_mean,pedagogy_mean,acc_immediate,acc_delayed,acc_transfer,tutor_tokens,total_tokens,n_model_calls,visible_tutor_turns
cold,0,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,159018.0,38.0,0.0
cold,1,1,live,,,,,1.0,1.0,1.0,0.0,108202.0,38.0,0.0
cold,2,1,live,,,,,1.0,1.0,1.0,0.0,157109.0,38.0,0.0
cold,3,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,113650.0,38.0,0.0
cold,4,1,live,,,,,1.0,1.0,0.6666666666666666,0.0,122871.0,38.0,0.0
cold,5,1,live,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,110056.0,38.0,0.0
cold,6,1,live,,,,,1.0,1.0,1.0,0.0,131438.0,38.0,0.0
cold,7,1,live,,,,,1.0,1.0,1.0,0.0,115834.0,38.0,0.0
cold,8,1,live,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,98050.0,38.0,0.0
cold,9,1,live,,,,,1.0,1.0,1.0,0.0,117096.0,38.0,0.0
conv,0,1,live,0.36363636363636365,0.4117647058823529,5.0,3.909090909090909,1.0,1.0,0.6666666666666666,26801.0,334461.0,67.0,24.0
conv,1,1,live,0.3333333333333333,0.5238095238095238,5.0,4.155555555555556,1.0,0.6666666666666666,1.0,18200.0,250381.0,69.0,24.0
conv,2,1,live,0.7777777777777778,0.5333333333333333,5.0,2.888888888888889,1.0,0.6666666666666666,0.3333333333333333,20331.0,265692.0,68.0,24.0
conv,3,1,live,0.42857142857142855,0.7692307692307693,5.0,4.0,1.0,1.0,0.6666666666666666,24580.0,298630.0,67.0,24.0
conv,4,1,live,0.14285714285714285,0.7777777777777778,4.968253968253968,4.523809523809524,1.0,1.0,0.6666666666666666,17657.0,238809.0,68.0,24.0
conv,5,1,live,0.5555555555555556,0.4166666666666667,5.0,3.611111111111111,1.0,1.0,1.0,18920.0,248322.0,69.0,24.0
conv,6,1,live,0.3333333333333333,0.5,5.0,3.472222222222222,1.0,1.0,1.0,20093.0,268882.0,67.0,24.0
conv,7,1,live,0.7777777777777778,0.8,5.0,2.740740740740741,1.0,1.0,1.0,20323.0,250471.0,67.0,24.0
conv,8,1,live,0.25,0.3333333333333333,4.944444444444445,3.3194444444444446,1.0,1.0,1.0,21307.0,294859.0,69.0,24.0
conv,9,1,live,0.3333333333333333,0.7333333333333333,5.0,4.037037037037037,1.0,1.0,1.0,19405.0,240392.0,67.0,24.0
ped,0,1,live,0.041666666666666664,0.5666666666666667,4.944444444444445,4.944444444444445,0.6666666666666666,0.3333333333333333,0.6666666666666666,27356.0,174119.0,93.0,24.0
ped,1,1,live,0.0,0.5517241379310345,4.884057971014492,4.913043478260869,1.0,1.0,1.0,25758.0,151858.0,91.0,24.0
ped,2,1,live,0.041666666666666664,0.6666666666666666,4.944444444444445,4.958333333333333,1.0,1.0,1.0,28181.0,170984.0,91.0,24.0
ped,3,1,live,0.041666666666666664,0.7666666666666667,4.722222222222222,4.986111111111112,0.3333333333333333,1.0,1.0,33641.0,206583.0,92.0,24.0
ped,4,1,live,0.2222222222222222,0.6666666666666666,4.851851851851851,4.944444444444445,1.0,1.0,1.0,32287.0,194499.0,92.0,24.0
ped,5,1,live,0.08695652173913043,0.6896551724137931,4.913043478260869,4.942028985507247,0.6666666666666666,1.0,1.0,30443.0,189487.0,91.0,24.0
ped,6,1,live,0.20833333333333334,0.43333333333333335,4.958333333333333,4.513888888888888,1.0,0.6666666666666666,1.0,30658.0,181211.0,91.0,24.0
ped,7,1,live,0.0,0.72,4.87719298245614,4.964912280701754,1.0,1.0,1.0,29090.0,190441.0,92.0,24.0
ped,8,1,live,0.0,0.7857142857142857,4.666666666666667,4.8939393939393945,0.6666666666666666,1.0,1.0,30910.0,191770.0,91.0,24.0
ped,9,1,live,0.0,0.7142857142857143,5.0,5.0,0.6666666666666666,1.0,0.6666666666666666,32434.0,223896.0,92.0,24.0
