block,metric,window,group_a,a_value,group_b,b_value,diff_a_minus_b,ci95_lo,ci95_hi,p_two_sided,effect_name,effect_value,n,significant_in_predicted_direction,verdict,changed_vs_full
marginal,P1_leakage,full,conv,0.4296176046176046,ped,0.0642512077294686,0.36536639688813605,0.2169665011920447,0.516362067883807,0.00390625,cliffs_delta_conv_vs_ped,0.96,10,True,,
marginal,P1_leakage,matched,conv,0.43010461760461755,ped,0.04097222222222222,0.38913239538239536,0.24077380952380953,0.5396825396825397,0.00390625,cliffs_delta_conv_vs_ped,0.96,10,True,holds under matched visible-turn budget,False
marginal,P2_helpfulness,full,conv,4.703114478114478,ped,4.796980965258998,-0.09386648714451926,-0.2509740135912907,0.05775361596514346,0.16015625,cliffs_delta_conv_vs_ped,-0.1,10,False,,
marginal,P2_helpfulness,matched,conv,4.723821548821548,ped,4.805586820586821,-0.08176527176527193,-0.22913257575757578,0.05671975709475675,0.42578125,cliffs_delta_conv_vs_ped,-0.13,10,False,holds under matched visible-turn budget,False
marginal,P3_independence,full,conv,0.579924944336709,ped,0.6561379310344828,-0.07621298669777371,-0.18887911313950867,0.020639305713443686,0.375,cliffs_delta_conv_vs_ped,-0.22,10,False,,
marginal,P3_independence,matched,conv,0.5695454545454546,ped,0.6096753246753246,-0.040129870129870106,-0.1807402597402597,0.08891991341991343,0.6953125,cliffs_delta_conv_vs_ped,-0.1,10,False,holds (same direction/significance) but weakens under matched visible-turn budget,False
j2,leak_to_helpfulness,full,leaky_turns,4.949494949494949,nonleaky_turns,4.672374429223744,0.2771205202712048,0.16908015051626585,0.4366128741375443,9.107285510187757e-06,mixed_coef,0.30284651232690507,66leaky/292nonleaky (leaky conv52/ped14),True,,
j2,leak_to_next_independence,full,leaky_turns,0.3333333333333333,nonleaky_turns,0.7294520547945206,-0.39611872146118726,-0.49533875227106783,-0.2759011391299958,5.637215532543803e-12,mixed_coef,-0.3856199457005318,66leaky/292nonleaky (leaky conv52/ped14),True,,
j2,leak_to_helpfulness,matched,leaky_turns,4.9415204678362565,nonleaky_turns,4.656616415410386,0.2849040524258708,0.13752251089664824,0.45306848031819713,0.0002441087014584427,mixed_coef,0.2952954956074227,57leaky/199nonleaky (leaky conv51/ped6),True,,
j2,leak_to_next_independence,matched,leaky_turns,0.3684210526315789,nonleaky_turns,0.7185929648241206,-0.3501719121925417,-0.4842517153336924,-0.2255845835801502,7.508896914749837e-08,mixed_coef,-0.3549181494569213,57leaky/199nonleaky (leaky conv51/ped6),True,,
